date,price,market_cap,volume,community_score,dev_score,public_interest_score,fear_greed,price_5_SMA,price_10_SMA,price_25_SMA,price_50_SMA,price_75_SMA,price_100_SMA,price_150_SMA,price_200_SMA,price_250_SMA,price_300_SMA,price_350_SMA,fear_greed_3_SMA,fear_greed_5_SMA,fear_greed_7_SMA,fear_greed_9_SMA,fear_greed_11_SMA,fear_greed_13_SMA,fear_greed_15_SMA,fear_greed_30_SMA
2021-01-28,0.13692590675338367,0.00014439897598857645,0.04129951507125683,0.00044035887295394965,5.272757510407835e-05,0.0664776277214399,0.5402298850574713,0.14040209971441625,0.136620442015362,0.1380755467362425,0.10788591432559139,0.08615604276477856,0.07498087964130773,0.0635043120260327,0.052897588202382766,0.04531563539675041,0.03869291479180759,0.033700569759670944,0.689655172413793,0.708045977011496,0.6666666666666676,0.693486590038315,0.7168234064785793,0.7365163572060136,0.7570881226053647,0.8582375478927194
2021-01-29,0.1366091411083424,0.00014519130152605244,0.05235383652217386,0.00044149074764230007,5.272757510407835e-05,0.0664776277214399,0.7931034482758621,0.14140809681793529,0.13633830939598726,0.13767267520070892,0.10966599822851197,0.08744511784424075,0.07595500758076382,0.06420709923327375,0.053497738620341906,0.04578846185031593,0.03914264656572704,0.034065861679851005,0.7126436781609194,0.7241379310344845,0.7274220032840731,0.6922094508301414,0.7147335423197497,0.7303271441202489,0.7524904214559395,0.8528735632183899
2021-01-30,0.141038565709548,0.0001500146204122911,0.05592944588654848,0.00044258435927121726,5.272757510407835e-05,0.0664776277214399,0.7816091954022989,0.14298386446506364,0.13674442747378768,0.13813840140648984,0.1115838037450837,0.08879997625597645,0.07694661121904138,0.06493398739917308,0.054132276882473886,0.04626693050487092,0.03960657630803069,0.034443909742342266,0.7049808429118772,0.7287356321839098,0.7307060755336626,0.6934865900383151,0.7105538140020904,0.7276746242263497,0.7432950191570887,0.8455938697318
2021-01-31,0.1365870440765578,0.00014470649166083388,0.02481232761609561,0.0004435791988164813,4.72748786093443e-05,0.05773826116210891,0.8045977011494253,0.14179057525121436,0.1365209754053482,0.13773880814834327,0.11342565418811282,0.09008176195374616,0.07788129293886398,0.06563790366544811,0.05474637758239794,0.04672328122435975,0.04005519766182802,0.034812816678211025,0.793103448275862,0.7448275862068983,0.7438423645320206,0.7420178799489153,0.7105538140020905,0.7267904509283832,0.7386973180076635,0.8394636015325663
2021-02-01,0.13055142287882235,0.00013859224094528756,0.055524938626889515,0.0004443680407278199,4.72748786093443e-05,0.05773826116210891,0.7931034482758621,0.13634241610533088,0.1376861273147025,0.13696809670588,0.11511163225679379,0.09125091211744603,0.07876206798353605,0.06633422962597209,0.05533167810188018,0.04713883180328189,0.040481640687675874,0.03516760331940952,0.793103448275862,0.7425287356321857,0.7487684729064048,0.7458492975734363,0.7126436781609201,0.724137931034484,0.737164750957855,0.8329501915708805
2021-02-02,0.13912823756238074,0.0001475774776320479,0.04071163498677872,0.0004452094857897388,4.72748786093443e-05,0.05773826116210891,0.7816091954022989,0.13678288226713028,0.1385924909907732,0.13705577157951315,0.11694147947679481,0.092560842333512,0.07967384889734241,0.0670801220244739,0.05596117305469726,0.04760161270310091,0.04093775401674949,0.035545928661372836,0.793103448275862,0.7908045977011512,0.7569786535303785,0.7535121328224785,0.7502612330198543,0.7223695844385511,0.7348659003831423,0.8264367816091946
2021-02-03,0.14741476762582972,0.00015676901405909267,0.05754155021296529,0.00044625223972069735,4.72748786093443e-05,0.05773826116210891,0.8045977011494253,0.13894400757062775,0.14017605219428148,0.1374833914291462,0.11890915645693831,0.09398534170511358,0.08068727681394279,0.0678980947550422,0.05662933042832386,0.048111891209803116,0.041420695634243346,0.035947643128159346,0.793103448275862,0.7931034482758639,0.7569786535303785,0.7586206896551733,0.7544409613375137,0.7250221043324504,0.733333333333334,0.820306513409961
2021-02-04,0.1494968164328224,0.00015728363926017749,0.03365336354536333,0.00044700175761120515,0.00030355161386184503,0.05773826116210891,0.8275862068965517,0.14063565771528264,0.14180976109017307,0.13782049320407666,0.12089985312516109,0.09542878160825732,0.08175159227422943,0.0687114037504119,0.05730517298795402,0.04863404769928159,0.041910736794133256,0.03635728878370086,0.8045977011494251,0.8022988505747144,0.7980295566502472,0.7701149425287365,0.7648902821316621,0.7603890362511064,0.7348659003831423,0.8153256704980836
2021-02-05,0.14516598504231917,0.00015443924818991654,0.0354692003538984,0.0004488919801268557,0.00030355161386184503,0.05773826116210891,0.8390804597701149,0.1423514459084349,0.14207101057982457,0.13816355702315158,0.1226780316483577,0.0967464829380223,0.08276999879108528,0.06950212482187454,0.057962004993315566,0.04914389425777622,0.04238804755354451,0.03675478074894722,0.8237547892720305,0.8091954022988522,0.8045977011494262,0.7739463601532575,0.7722048066875659,0.7665782493368712,0.7394636015325676,0.8099616858237542
2021-02-06,0.1689232881786996,0.00017871496124516182,0.0852166249746703,0.0004502231786596955,0.00046576933458018327,0.05773826116210891,0.8735632183908046,0.15002581896841036,0.14318411753687055,0.1399642361465554,0.12498566246463635,0.09842867103226602,0.08405107548281926,0.07045942133783481,0.058739257181820645,0.049760575920655435,0.042944839616793636,0.037220757056238965,0.8467432950191568,0.8252873563218408,0.8177339901477841,0.8109833971902947,0.7857889237199589,0.7789566755084009,0.7731800766283531,0.8072796934865892
