Length Training Data: 16972
Length Testing Data: 128
Epoch: 1 / 10 | Training Loss: 1.1053 | eta: 0.000872
Epoch: 1 / 10 | Training Loss: 1.0906 | eta: 0.000871
Epoch: 1 / 10 | Training Loss: 0.9181 | eta: 0.000870
Epoch: 1 / 10 | Training Loss: 0.9937 | eta: 0.000869
Epoch: 1 / 10 | Training Loss: 1.1296 | eta: 0.000868
Epoch: 1 / 10 | Training Loss: 1.0446 | eta: 0.000868
Epoch: 1 / 10 | Training Loss: 0.8324 | eta: 0.000867
Epoch: 1 / 10 | Training Loss: 1.1514 | eta: 0.000866
Epoch: 1 / 10 | Training Loss: 0.8883 | eta: 0.000865
Epoch: 1 / 10 | Training Loss: 1.0372 | eta: 0.000864
Epoch: 1 / 10 | Training Loss: 0.8939 | eta: 0.000863
Epoch: 1 / 10 | Training Loss: 1.0034 | eta: 0.000862
Epoch: 1 / 10 | Training Loss: 1.1720 | eta: 0.000862
Epoch: 1 / 10 | Training Loss: 1.1107 | eta: 0.000861
Epoch: 1 / 10 | Training Loss: 0.9072 | eta: 0.000860
Epoch: 1 / 10 | Training Loss: 1.0564 | eta: 0.000859
Epoch: 1 / 10 | Training Loss: 0.8706 | eta: 0.000858
Epoch: 1 / 10 | Training Loss: 1.0425 | eta: 0.000857
Epoch: 1 / 10 | Training Loss: 1.1916 | eta: 0.000856
Epoch: 1 / 10 | Training Loss: 0.9170 | eta: 0.000856
Epoch: 1 / 10 | Training Loss: 0.8469 | eta: 0.000855
Epoch: 1 / 10 | Training Loss: 1.0359 | eta: 0.000854
Epoch: 1 / 10 | Training Loss: 0.9719 | eta: 0.000853
Epoch: 1 / 10 | Training Loss: 0.9810 | eta: 0.000852
Epoch: 1 / 10 | Training Loss: 0.8556 | eta: 0.000851
Epoch: 1 / 10 | Training Loss: 1.0093 | eta: 0.000850
Epoch: 1 / 10 | Training Loss: 0.8302 | eta: 0.000850
Epoch: 1 / 10 | Training Loss: 0.9240 | eta: 0.000849
Epoch: 1 / 10 | Training Loss: 1.0771 | eta: 0.000848
Epoch: 1 / 10 | Training Loss: 1.1330 | eta: 0.000847
Epoch: 1 / 10 | Training Loss: 0.8893 | eta: 0.000846
Epoch: 1 / 10 | Training Loss: 0.9548 | eta: 0.000845
Epoch: 1 / 10 | Training Loss: 0.9324 | eta: 0.000845
Time elapsed by epoch 1: 5.566666666666666 mins.
Epoch: 2 / 10 | Training Loss: 0.7410 | eta: 0.000843
