Length Training Data: 7942
Length Testing Data: 128
Epoch: 3 / 10 | Training Loss: 1.2966 | eta: 0.003957
Epoch: 3 / 10 | Training Loss: 1.3707 | eta: 0.003953
Epoch: 3 / 10 | Training Loss: 1.4055 | eta: 0.003950
Epoch: 3 / 10 | Training Loss: 1.3347 | eta: 0.003946
Epoch: 3 / 10 | Training Loss: 1.3420 | eta: 0.003942
Time elapsed by epoch 3: 148.73333333333332 mins.
Epoch: 4 / 10 | Training Loss: 1.2581 | eta: 0.003936
Epoch: 4 / 10 | Training Loss: 1.2784 | eta: 0.003932
Epoch: 4 / 10 | Training Loss: 1.3678 | eta: 0.003928
Epoch: 4 / 10 | Training Loss: 1.3405 | eta: 0.003924
Epoch: 4 / 10 | Training Loss: 1.3201 | eta: 0.003920
Epoch: 4 / 10 | Training Loss: 1.3783 | eta: 0.003916
Epoch: 4 / 10 | Training Loss: 1.3963 | eta: 0.003913
Epoch: 4 / 10 | Training Loss: 1.4900 | eta: 0.003909
Epoch: 4 / 10 | Training Loss: 1.3618 | eta: 0.003905
Epoch: 4 / 10 | Training Loss: 1.2532 | eta: 0.003901
Epoch: 4 / 10 | Training Loss: 1.1843 | eta: 0.003897
Epoch: 4 / 10 | Training Loss: 1.4364 | eta: 0.003893
Epoch: 4 / 10 | Training Loss: 1.3666 | eta: 0.003889
Epoch: 4 / 10 | Training Loss: 1.3666 | eta: 0.003885
Epoch: 4 / 10 | Training Loss: 1.2571 | eta: 0.003881
Epoch: 4 / 10 | Training Loss: 1.4151 | eta: 0.003877
Epoch: 4 / 10 | Training Loss: 1.4015 | eta: 0.003874
Epoch: 4 / 10 | Training Loss: 1.3809 | eta: 0.003870
Epoch: 4 / 10 | Training Loss: 1.3232 | eta: 0.003866
Epoch: 4 / 10 | Training Loss: 1.3073 | eta: 0.003862
Epoch: 4 / 10 | Training Loss: 1.2075 | eta: 0.003858
Epoch: 4 / 10 | Training Loss: 1.3338 | eta: 0.003854
Epoch: 4 / 10 | Training Loss: 1.3195 | eta: 0.003850
Epoch: 4 / 10 | Training Loss: 1.2849 | eta: 0.003847
Epoch: 4 / 10 | Training Loss: 1.3584 | eta: 0.003843
Epoch: 4 / 10 | Training Loss: 1.3499 | eta: 0.003839
Epoch: 4 / 10 | Training Loss: 1.3799 | eta: 0.003835
Epoch: 4 / 10 | Training Loss: 1.3718 | eta: 0.003831
Epoch: 4 / 10 | Training Loss: 1.2688 | eta: 0.003827
Epoch: 4 / 10 | Training Loss: 1.3811 | eta: 0.003824
Epoch: 4 / 10 | Training Loss: 1.4285 | eta: 0.003820
Epoch: 4 / 10 | Training Loss: 1.3654 | eta: 0.003816
Epoch: 4 / 10 | Training Loss: 1.3071 | eta: 0.003812
Epoch: 4 / 10 | Training Loss: 1.2226 | eta: 0.003808
Epoch: 4 / 10 | Training Loss: 1.2853 | eta: 0.003804
Epoch: 4 / 10 | Training Loss: 1.2640 | eta: 0.003801
Epoch: 4 / 10 | Training Loss: 1.3868 | eta: 0.003797
Epoch: 4 / 10 | Training Loss: 1.3114 | eta: 0.003793
Epoch: 4 / 10 | Training Loss: 1.3159 | eta: 0.003789
Epoch: 4 / 10 | Training Loss: 1.3124 | eta: 0.003785
Epoch: 4 / 10 | Training Loss: 1.3261 | eta: 0.003782
Epoch: 4 / 10 | Training Loss: 1.2943 | eta: 0.003778
Epoch: 4 / 10 | Training Loss: 1.3536 | eta: 0.003774
Epoch: 4 / 10 | Training Loss: 1.1545 | eta: 0.003770
Epoch: 4 / 10 | Training Loss: 1.2963 | eta: 0.003767
Epoch: 4 / 10 | Training Loss: 1.2807 | eta: 0.003763
Epoch: 4 / 10 | Training Loss: 1.2612 | eta: 0.003759
Epoch: 4 / 10 | Training Loss: 1.3573 | eta: 0.003755
Epoch: 4 / 10 | Training Loss: 1.2232 | eta: 0.003752
Epoch: 4 / 10 | Training Loss: 1.3078 | eta: 0.003748
Epoch: 4 / 10 | Training Loss: 1.4120 | eta: 0.003744
Epoch: 4 / 10 | Training Loss: 1.4125 | eta: 0.003740
Epoch: 4 / 10 | Training Loss: 1.3165 | eta: 0.003737
Epoch: 4 / 10 | Training Loss: 1.3791 | eta: 0.003733
Epoch: 4 / 10 | Training Loss: 1.3341 | eta: 0.003729
Epoch: 4 / 10 | Training Loss: 1.3115 | eta: 0.003725
Epoch: 4 / 10 | Training Loss: 1.2824 | eta: 0.003722
Epoch: 4 / 10 | Training Loss: 1.2865 | eta: 0.003718
Epoch: 4 / 10 | Training Loss: 1.2322 | eta: 0.003714
Epoch: 4 / 10 | Training Loss: 1.3932 | eta: 0.003711
Epoch: 4 / 10 | Training Loss: 1.3928 | eta: 0.003707
Epoch: 4 / 10 | Training Loss: 1.2629 | eta: 0.003703
Epoch: 4 / 10 | Training Loss: 1.2962 | eta: 0.003699
Epoch: 4 / 10 | Training Loss: 1.2901 | eta: 0.003696
Epoch: 4 / 10 | Training Loss: 1.3669 | eta: 0.003692
Epoch: 4 / 10 | Training Loss: 1.3253 | eta: 0.003688
Epoch: 4 / 10 | Training Loss: 1.4088 | eta: 0.003685
Epoch: 4 / 10 | Training Loss: 1.3203 | eta: 0.003681
Epoch: 4 / 10 | Training Loss: 1.3452 | eta: 0.003677
Epoch: 4 / 10 | Training Loss: 1.3801 | eta: 0.003674
Epoch: 4 / 10 | Training Loss: 1.3721 | eta: 0.003670
Epoch: 4 / 10 | Training Loss: 1.3047 | eta: 0.003666
Epoch: 4 / 10 | Training Loss: 1.3248 | eta: 0.003663
Epoch: 4 / 10 | Training Loss: 1.3275 | eta: 0.003659
Epoch: 4 / 10 | Training Loss: 1.3748 | eta: 0.003655
Epoch: 4 / 10 | Training Loss: 1.2418 | eta: 0.003652
Epoch: 4 / 10 | Training Loss: 1.3764 | eta: 0.003648
Epoch: 4 / 10 | Training Loss: 1.2251 | eta: 0.003644
Epoch: 4 / 10 | Training Loss: 1.5404 | eta: 0.003641
Time elapsed by epoch 4: 198.31666666666666 mins.
Epoch: 5 / 10 | Training Loss: 1.3609 | eta: 0.003636
Epoch: 5 / 10 | Training Loss: 1.2949 | eta: 0.003632
Epoch: 5 / 10 | Training Loss: 1.2671 | eta: 0.003628
Epoch: 5 / 10 | Training Loss: 1.3125 | eta: 0.003625
Epoch: 5 / 10 | Training Loss: 1.2706 | eta: 0.003621
Epoch: 5 / 10 | Training Loss: 1.4001 | eta: 0.003617
Epoch: 5 / 10 | Training Loss: 1.3058 | eta: 0.003614
Epoch: 5 / 10 | Training Loss: 1.3223 | eta: 0.003610
Epoch: 5 / 10 | Training Loss: 1.3954 | eta: 0.003607
Epoch: 5 / 10 | Training Loss: 1.2383 | eta: 0.003603
Epoch: 5 / 10 | Training Loss: 1.3348 | eta: 0.003599
Epoch: 5 / 10 | Training Loss: 1.2735 | eta: 0.003596
Epoch: 5 / 10 | Training Loss: 1.3105 | eta: 0.003592
Epoch: 5 / 10 | Training Loss: 1.3004 | eta: 0.003589
Epoch: 5 / 10 | Training Loss: 1.2533 | eta: 0.003585
Epoch: 5 / 10 | Training Loss: 1.3374 | eta: 0.003581
Epoch: 5 / 10 | Training Loss: 1.2584 | eta: 0.003578
Epoch: 5 / 10 | Training Loss: 1.3403 | eta: 0.003574
Epoch: 5 / 10 | Training Loss: 1.2655 | eta: 0.003571
Epoch: 5 / 10 | Training Loss: 1.2507 | eta: 0.003567
Epoch: 5 / 10 | Training Loss: 1.4676 | eta: 0.003564
Epoch: 5 / 10 | Training Loss: 1.3822 | eta: 0.003560
Epoch: 5 / 10 | Training Loss: 1.4148 | eta: 0.003556
Epoch: 5 / 10 | Training Loss: 1.3158 | eta: 0.003553
Epoch: 5 / 10 | Training Loss: 1.2276 | eta: 0.003549
