date,price,market_cap,volume,community_score,dev_score,public_interest_score,fear_greed
2021-04-30,41.70452494357889,51263766718.41544,5803543920.434342,108631522.0,11503.848017621143,26419,51
2021-04-29,42.708752677838575,52006235819.22512,7335385429.691507,108001318.0,11507.84895259096,26419,52
2021-04-28,43.3203949291244,52847115141.249855,5994325276.850317,106909.07666666668,9738.84895259096,26419,59
2021-04-27,40.46100924422229,49424881976.93767,6177549971.070881,13893.28846153846,9749.849723756906,26419,50
2021-04-26,35.2032775896108,42973846111.34303,4054531609.104293,13899.025307692307,8316.85049833887,26419,27
2021-04-25,35.17964427330822,43512387490.60823,4349827562.617598,105589.22033333332,8316.85049833887,26419,31
2021-04-24,39.0572074663452,47617504067.91403,13337540141.3357,105159.87933333332,11499.85049833887,26419,37
2021-04-23,40.027261305156486,49118215571.01978,9516106417.623173,104827.58907692308,11499.85049833887,26419,55
2021-04-22,42.885397107257496,52921246598.30143,9164813905.666565,104466.7823846154,10584.851111111111,26419,65
2021-04-21,44.15159389475427,54229259513.06833,10497375474.204628,13675932.0,9161.85,26419,73
2021-04-20,44.054153975672754,54523645009.39238,9096768590.194489,13638.25,8486.851893095769,26419,73
2021-04-19,48.2193224705626,59068642927.17996,21098458221.83571,13611.576923076924,8476.851727982163,26419,74
2021-04-18,54.94620675251058,67310814113.90379,9879908200.796732,102804.12933333332,8481.851727982163,26419,79
2021-04-17,56.49580201715659,69353638097.64095,12676889067.027382,102359091.0,9429.851727982164,26419,76
2021-04-16,59.25314521798158,72577929920.30032,14445898723.871748,101949.36363636365,9402.851727982164,26419,78
2021-04-15,57.428558426004656,70429931210.82962,21524612962.651302,101426.05366666667,9406.84949832776,26769,79
2021-04-14,54.84162969341121,67242211920.40682,14898901243.597565,100606.3846153846,7927.851396648045,26769,75
2021-04-13,57.39614611457242,70501639633.68088,27764690161.93895,100212363.0,6786.852348993289,26769,74
2021-04-12,54.24059995718754,66195978511.72385,9263480575.788437,13356.115384615385,6703.853303471445,26769,74
2021-04-11,53.952373204611526,66320968725.70261,13965342747.738537,99175.75707692308,6703.854260089686,26769,76
2021-04-10,49.48414132858325,60712567086.68479,6067796045.853393,98697.31376923076,9638.854260089687,26769,70
2021-04-09,49.7546748879934,60814320630.41022,6144601918.587778,98208409.0,8512.853932584268,26769,70
2021-04-08,47.05548332907421,58290744599.92657,10843525190.720922,97521.89466666667,8370.854893138358,26769,73
2021-04-07,50.16797082883984,61348446240.8125,10649662375.74369,13106.429153846157,8209.85682074408,26769,72
2021-04-06,51.61439666345862,63232679168.58753,11602555083.423464,96385.25766666669,8209.857948139797,26769,75
2021-04-05,50.28683426871776,61666388735.60663,7249109578.718065,13003.371461538463,7650.839729119639,26769,71
2021-04-04,47.9965435403316,59213681377.047295,12431716016.416256,95063.52630769231,7650.839729119639,26769,74
2021-04-03,53.791869190429445,66080670767.10474,15561149983.685366,94551.47033333332,9660.839729119638,26769,73
2021-04-02,50.62847001657718,62126965738.6614,12761877154.499723,93881659.0,8049.837288135594,26769,74
2021-04-01,48.75085037449851,59725446164.40587,10326838494.953974,93327.70446153848,5108.836158192091,26769,74
2021-03-31,50.211436462084,61479264224.90056,13806697485.365135,12771.301615384617,5117.837104072398,26816,76
2021-03-30,50.52330181318272,61747331967.53725,14586504504.122246,12757.688666666669,5060.839002267574,22765,72
2021-03-29,51.719080042914015,63472933249.33286,20979833722.138508,12722819.0,4166.840728100114,22765,72
2021-03-28,41.928548830617416,51463164829.71094,6368069292.248218,93085.91092307692,4166.840728100114,22765,74
2021-03-27,44.53193171530712,54578931314.91066,7409942845.716462,92423.05769230767,5525.840728100114,22765,65
2021-03-26,38.209027464303375,46614322780.84167,7559138524.017555,91942.01818181816,5525.840728100114,22765,54
2021-03-25,39.31588621702092,48870129704.38614,7847843147.775694,90992.69633333333,0.0,22765,60
2021-03-24,43.07744179531894,52675778065.24447,6871645991.466507,90602.65133333331,5419.842465753425,22765,65
2021-03-23,44.13448610344688,54358217605.60798,9176116995.799955,90349.53733333333,4381.842285714286,22765,66
2021-03-22,48.24219520053391,58973036588.25729,8093933839.567943,12415.21153846154,4336.842105263158,22765,70
2021-03-21,48.871794204253256,59998687258.620445,11493106942.417994,89566228.0,4336.843069873998,22765,73
2021-03-20,48.22990189212444,59075225946.80038,6793185147.342374,89082.11538461539,22494.843069874,22765,75
2021-03-19,47.96419540705972,58941774930.76997,8335569274.094396,12302614.0,22459.843069874,22765,71
2021-03-18,48.78899630626572,59649200180.8164,7018257254.501712,12259364.0,22459.83963344788,22765,72
2021-03-17,48.56112027878702,59004279311.73842,9877287643.482971,12194.102230769233,20827.84156142365,22765,71
2021-03-16,48.46591658928153,59595584375.572136,10208890926.548258,12129.300615384616,20812.84252873564,22765,71
2021-03-15,49.06932565667272,60664349318.05089,7779469449.649818,12081.333333333332,20722.841379310343,25525,76
2021-03-14,50.54523604234152,61892877847.63,13007433372.871202,87580.64676923076,20719.840229885056,25525,78
2021-03-13,48.746136770457625,59370013875.27094,14842881129.992908,87016.64676923076,22421.841196777907,25525,74
2021-03-12,53.56512518482285,65478551167.112015,13387438392.577326,86584.56133333333,22357.841196777907,25525,70
2021-03-11,57.30738376700297,70152336222.51422,15073453407.65362,86099.34866666667,8269.843137254902,25525,73
2021-03-10,60.2347139202152,73795891288.35303,21708836235.48653,11777.307692307691,8154.844110854503,25525,68
2021-03-09,53.966830603117046,66080099277.4219,9619723704.710505,11695.057692307691,8154.844110854503,25525,81
2021-03-08,52.6271769954184,64483750520.34795,8187689427.186539,11583.992923076925,8066.838337182447,25525,81
2021-03-07,50.3175405644644,61638958913.01108,5479990524.516266,84208.94838461539,8066.838337182447,25525,76
2021-03-06,51.46135333481398,62778307666.45696,8671123539.511719,83775.74392307692,8582.838337182448,25525,77
2021-03-05,51.892351190788034,63686717834.9883,11012684386.836578,83428.24233333333,8548.836027713625,25525,77
2021-03-04,54.79478851963601,67387189014.27897,16220721774.777956,83079.53138461539,3092.8312138728324,25525,84
2021-03-03,50.86078283908278,62110183232.40963,14265123450.711132,11383166.0,3099.8312138728324,25525,78
2021-03-02,53.02929799601403,64403989748.552414,14293694306.338806,81423083.0,3103.831981460023,25525,78
2021-03-01,43.88140960945,53776095397.75675,10486064200.28386,11167.030666666667,2201.8317865429235,25525,38
2021-02-28,47.29147150809455,58046581760.849495,8639737944.21474,80401.50766666667,2201.8315911730547,27786,55
2021-02-27,48.2251001789774,58677475432.87856,16076429624.73457,11018.877538461536,4436.832558139535,27786,56
2021-02-26,47.910815921589545,58750536787.49196,14637144045.55929,10933.51923076923,4442.827304550759,27786,55
2021-02-25,52.85437533642151,64151019844.37798,21221213226.80142,79045.67915384615,4433.827304550759,27786,79
2021-02-24,47.16798812873379,56796396455.900734,34530578187237.0,10884409.0,4108.820303383897,27786,76
2021-02-23,56.469023217630784,68822985403.97076,30647543593.513115,77395.73466666667,4042.819136522754,27786,94
2021-02-22,63.73820697198365,78014072803.51408,16244340383.143509,10658.371666666668,3954.804449648712,27786,94
2021-02-21,64.76185995230232,77404048559.50113,37949476139.27245,76196.53846153847,3954.804449648712,27786,91
2021-02-20,60.902540102462325,73753631101.10211,15887281448.424429,75109.79453846153,7911.804449648712,27786,91
2021-02-19,64.10199629772278,78583746883.42711,21614641943.921005,73880.71266666667,7912.805392731536,27786,93
2021-02-18,61.07765070131908,74643748078.65573,19951372801.016487,73536.57566666667,7912.806338028169,27786,91
2021-02-17,58.03081591916494,71196135938.25444,15498074049.365631,9794.134615384615,6908.809411764706,27786,95
2021-02-16,59.57506898067436,72156488164.17874,35655783714.01228,9655.310333333333,6530.7896592244415,27786,95
2021-02-15,61.28697687812498,75066594813.07642,30513123237.723072,9464.692307692309,6535.7896592244415,34817,93
2021-02-14,65.70335610085138,80675250556.24951,35079932603.48458,68026.78846153847,6535.7896592244415,34817,95
2021-02-13,63.18347264832963,78150720926.83704,114826591592.26628,67115.19733333333,8344.789659224441,34817,92
2021-02-12,57.27327377161467,69738316177.23514,99062572615.55602,65926.82692307692,7963.7896592244415,34817,92
2021-02-11,35.29649472922837,42563431512.09982,28159587688.85539,62293909.0,7964.784705882353,34817,93
2021-02-10,29.40429383290995,36154863650.22116,10418237908.990084,59027.28833333334,7964.784705882353,34817,92
2021-02-09,27.163720000729715,33083224641.736107,15195624991.355814,5835.75,7965.784705882353,34817,95
2021-02-08,25.562518661655968,31224350646.93784,13265272509.639437,5718773.0,7718.783529411765,34817,83
2021-02-07,24.22691073268428,29595956475.482925,10775956723.782904,57439.89776923077,16665.78512396694,34817,86
2021-02-06,26.498773884700693,32536334346.230618,19209875836.829464,56838.519230769234,16666.786982248523,34817,84
2021-02-05,22.672500167113743,27849380163.849724,12064777296.24594,56146.44230769231,16236.78698224852,34817,81
2021-02-04,23.06708370032,28340467922.56192,11650890300.204817,55347.46166666666,16219.78698224852,34817,80
2021-02-03,21.106771269166867,25929497420.549828,10895168366.234514,54519.37066666666,16142.78698224852,34817,78
2021-02-02,21.777749313165,26674000555.87301,18693723946.101658,4784.853230769231,4266.789786223278,34817,76
2021-02-01,22.34039062663988,27566918054.43131,28505987126.16941,4638.302666666667,3985.7874109263657,34817,77
2021-01-31,17.80825272401029,21815099578.674576,14188833102.119877,52467091.0,3985.7874109263657,34817,78
2021-01-30,15.50855282172305,19022728676.193325,15387942889.129131,51649.73566666667,5762.787410926366,38348,76
2021-01-29,15.809068414299984,19598965763.548424,9350170204.30182,51030.35223076923,5706.787158145065,38348,77
2021-01-28,13.594677160789391,16566485949.5223,4922711394.114778,50470.32566666666,5703.788095238095,38348,55
2021-01-27,14.97740968855766,18359867610.911613,5248190451.046083,3446.9846666666667,5703.783233532934,38348,78
2021-01-26,14.836651092280766,18238289844.19984,6367167469.632015,49766.76533333334,5481.782035928143,38348,71
2021-01-25,15.590052551287732,19123951237.051487,8158466909.972252,3400.492923076923,5478.782973621103,38348,74
2021-01-24,16.377868364295644,19899414838.35768,10496571292.367392,49270.67915384616,5478.783913565427,38348,70
2021-01-23,14.24262845459116,17527433083.779755,11247106765.579865,48808.60533333333,5478.783913565427,38348,74
2021-01-22,12.275963792334124,15226979447.273336,7646965425.47008,48556.242333333335,3411.7831325301204,38348,40
2021-01-21,14.623554625433616,17760508026.759617,9475100740.698805,48262.49292307692,3411.789793438639,38348,75
2021-01-20,15.058077048469643,18419664787.412064,13757052829.20957,3257.743923076923,3412.790754257908,38348,78
2021-01-19,17.295384266703422,21358241795.45748,23549951493.966988,3278.333333333333,3423.789537712896,38348,80
2021-01-18,14.7080509397503,18326391936.906258,19843676294.07988,3260.507666666667,3344.788321167883,38348,79
2021-01-17,13.133887680138711,16077351431.401917,16401364070.97656,46573.320846153845,3344.788321167883,38348,79
2021-01-16,9.469250833028404,11633454734.44966,7108235949.037556,46025.35930769231,4819.788321167884,38348,84
2021-01-15,9.346162256131162,11404464363.307377,4917826739.777653,45559.060333333335,3082.788321167883,38944,88
2021-01-14,9.1571577909297,11196555745.490295,4517751841.637584,45024.35533333333,3086.7880633373934,38944,83
2021-01-13,7.73504119675425,9463461693.605042,2567080664.665634,2747.7044615384616,3091.789024390244,38944,78
2021-01-12,8.136495987017222,9937667686.75822,5185006813.139975,2725.846153846154,3091.790697674419,38944,84
2021-01-11,9.193672533682236,11236934665.590652,5303186604.558698,2711.7363636363634,3090.790697674419,38944,90
2021-01-10,9.815209504481414,12106420387.658443,5185571365.941448,2691.0296666666663,0.0,38944,94
2021-01-09,9.236801886217396,11315493396.37097,5901474731.537016,43598.73466666666,5084.790697674419,38944,93
2021-01-08,9.741458515059955,11896502583.286243,8585293532.773105,43245069.0,5075.791666666667,38944,93
2021-01-07,10.390617730157706,12863643505.762514,10720257162.378424,42862667.0,4977.791666666667,38944,91
2021-01-06,9.34929969727651,11442231554.608322,6546613695.31523,2571.8076923076924,5001.791666666667,38944,95
2021-01-05,8.448881411399984,10361463360.242476,6259246264.837011,41710.15384615384,4644.791666666667,38944,93
2021-01-04,8.342066149805676,10379911980.068344,6547827333.944952,2545.5,4639.791411042945,38944,94
2021-01-03,9.204871768056018,11218238212.315111,4142767081.1996655,40469.94838461538,4639.791411042945,38944,93
2021-01-02,10.176875502400875,12453231762.356855,5005440995.286304,39981.07566666666,6655.791411042945,38944,94
2021-01-01,9.855857207601748,12079672044.437798,3838332821.94502,39417.007666666665,6655.791411042945,38944,94
2020-12-31,10.5263759111827,12960334072.895718,6908663091.488089,38990.712666666666,6655.791411042945,38757,95
2020-12-30,10.443119999378473,12556557206.418446,7184071391.3704605,38149.0,6655.791411042945,70672,91
2020-12-29,10.743111597691447,13248442524.186825,11327445834.541405,2294.230769230769,6667.791411042945,70672,91
2020-12-28,11.086104533625464,13537229134.94774,16922931414.33104,2273.401333333333,6668.791154791155,70672,92
2020-12-27,13.586127526314096,16519230060.907656,20062366543.461937,36704.0253076923,6668.791154791155,70672,91
2020-12-26,10.049091600082622,12494491534.48353,9750800928.440325,35835.25,9980.79212792128,70672,93
2020-12-25,11.60652542513861,14094385748.992844,16929636476.327742,35000.39466666667,9980.79212792128,70672,94
