date,price,market_cap,volume,community_score,public_interest_score,fear_greed
2021-03-06,10.626713212111136,14085209702.050186,11244785439.128952,88829.67307692308,31249,
2021-03-05,11.752697176884976,15714006818.541971,21455553295.55465,88240227.0,31249,
2021-03-04,9.576148580544029,12572121339.956589,8700876886.262281,87321205.0,31249,
2021-03-03,7.773948537505981,10260590782.008202,4178319332.66643,85978.53066666667,31249,
2021-03-02,7.386568275239139,9761217154.695332,2825550772.4881463,85257.92433333333,31249,
2021-03-01,6.597816515201932,8833400752.032524,2832533974.123392,84707.76923076923,31249,
2021-02-28,7.102435515230126,9384420705.784773,2321425372.8407626,85634.01923076923,42015,
2021-02-27,6.92273372378301,9124316603.86743,3179138328.2018275,86432.76533333333,42015,
2021-02-26,7.1864066339481,9909985939.913143,3393992305.832757,86075.50766666667,42015,
2021-02-25,6.923204481859474,9205795999.978266,3242575197.648285,85581.09615384616,42015,
2021-02-24,6.487037788986516,8527915137.414654,5159484045.397576,85168.54453846155,42015,
2021-02-23,7.610934589307059,10010367791.680067,5951343134.693124,84734.75607692308,42015,
2021-02-22,8.790325109568302,11673450387.794168,2880970629.3905096,84236.37753846154,42015,
2021-02-21,8.486772760203579,11173219855.020746,4194512758.802759,83654477.0,42015,
2021-02-20,9.238142798889784,12262453431.891914,5132345611.722099,82872.06033333333,42015,
2021-02-19,8.694016108028844,11454426472.792698,4402945179.259376,82119.85223076923,42015,
2021-02-18,8.331322430026104,11043769121.16705,3832887271.620612,80888.32084615385,42015,
2021-02-17,8.134873002669902,10701524161.773075,4505055231.918811,79483363.0,42015,
2021-02-16,8.330606436759785,11117942953.082634,4805388171.065747,78815.67433333333,42015,
2021-02-15,8.727316943005867,11584397419.341898,5633332702.997242,78572.55161538463,56631,
2021-02-14,9.58215158199608,12778379546.695309,12309216514.319887,78106.65384615384,56631,
2021-02-13,8.526499652872088,11381075237.346834,5178381252.03755,77283.46761538462,56631,
2021-02-12,7.783878085043596,10263346731.633291,4705781720.168705,76453.63461538462,56631,
2021-02-11,6.96660477053996,9347133691.382511,3719672636.143922,75959.00766666667,56631,
2021-02-10,6.754061356997096,8956007498.238924,3314363015.232909,75317.56376923076,56631,
2021-02-09,6.586031700950268,8675576053.541653,4077261057.229031,74768.14366666667,56631,
2021-02-08,6.568051739518136,8759421662.396017,9018917788.413445,74487.76923076923,56631,
2021-02-07,6.414251438321935,8361616393.556358,8627309168.632975,73859.69230769231,56631,
2021-02-06,6.060693525846378,8467564553.200747,4813721313.040927,72665.22469230769,56631,
2021-02-05,4.783930771750627,6401035481.681074,2081224205.5643184,72101409.0,56631,
2021-02-04,4.899903089004171,6486641650.913469,2728097301.8672986,71755.35930769231,56631,
2021-02-03,4.670618965024292,6189808184.271308,1854156298.9944649,71778.81476923077,56631,
2021-02-02,4.330674274847358,5740474032.586298,1416957316.5972216,71610917.0,56631,
2021-02-01,4.316633101336883,5691439162.894116,1443622807.3209412,71293.0,56631,
2021-01-31,4.359351764303234,5777651238.599118,1700030832.7853448,69751.98076923077,56631,
2021-01-30,4.315296523470443,5756357913.477003,2006473910.8369465,68267.67433333333,67623,
2021-01-29,4.40859999780996,5903536171.883812,2478279553.852331,67770.33636363636,67623,
2021-01-28,4.104074211441958,5427847176.271022,2104266616.50808,67568.15454545454,67623,
2021-01-27,4.655748658353284,6184793951.964153,2532804219.893231,67375.96153846153,67623,
2021-01-26,4.593110405132747,6069190006.224379,2758946347.3721657,67099.49392307692,67623,
2021-01-25,4.780496738147533,6446849378.511662,4049957875.774597,66919386.0,67623,
2021-01-24,5.39906348913275,7026018464.061865,10088099404.78931,66732.38461538461,67623,
2021-01-23,4.393750542710984,5704234939.156702,9256572351.354197,66326.25,67623,
2021-01-22,3.339248149052597,4432424981.58934,2438669512.949603,65506.32566666666,67623,
2021-01-21,3.850769602139269,5110894438.261776,3317340522.016941,65330.42307692308,67623,
2021-01-20,3.459911717089405,4626684327.1015,2615610000.176536,65215.17307692308,67623,
2021-01-19,3.3286582124187927,4378260455.944878,1258149962.7544277,65074.807692307695,67623,
2021-01-18,3.193729240536104,4148739633.0296144,1633545150.160104,64949228.0,67623,
2021-01-17,3.051589886036025,4057831373.94322,1118708689.5697148,64868909.0,67623,
2021-01-16,2.9912981251489907,3954076308.89936,1233712737.1177478,64777.19838461538,67623,
2021-01-15,3.101642277300006,4109169469.786501,942032279.2857146,64699.65992307692,76796,
2021-01-14,3.2193478820373973,4258712448.140428,1362704785.2143734,64634.20546153846,76796,
2021-01-13,3.060749171532034,4048739066.825029,2559803262.2316813,65812614.0,76796,
2021-01-12,2.6474280512875774,3525858759.6441727,1523073773.5935123,67590.84866666667,76796,
2021-01-11,2.999427907608723,3991577352.4109097,1744422516.0743823,67947.37166666667,76796,
2021-01-10,3.256598058990921,4331786368.835559,1835151569.8894973,11300.26533333333,76796,
2021-01-09,3.4991974134796635,4618730365.655918,5789220203.926603,67354.43866666667,76796,
2021-01-08,3.543121401090405,4310813822.171774,4751365637.133692,67243.12166666667,76796,
2021-01-07,2.592469456035748,3447244825.111466,1252084889.7213953,66211.35633333333,76796,
2021-01-06,2.3017770036761744,3048961870.262968,1254202908.103849,65112.85323076923,76796,
2021-01-05,2.184618099577977,2909662496.1704,1051821257.581784,64441.10223076923,76796,
2021-01-04,2.292711761985838,3053528153.8198214,876331561.8376803,63856341.0,76796,
2021-01-03,2.2354691793776875,2970075811.034305,471323090.2462795,63798.5,76796,
2021-01-02,2.346610689362484,3114074099.377568,698858834.638395,63740.083333333336,76796,
2021-01-01,2.218791328516037,2904344135.228323,332097429.86610365,63679.583333333336,76796,
2020-12-31,2.196707411195316,2908640224.2885194,351384904.6919205,63643.063769230765,76875,
2020-12-30,2.2606016447281982,2992966065.22513,623024853.2535448,63588.19230769231,82693,
2020-12-29,2.2891143636611706,3036004309.2285404,619703524.0755374,63571.5,82693,
2020-12-28,2.265074812800323,3017750367.0666275,666320337.8311495,63530.068,82693,
2020-12-27,2.2274386203483627,2961010604.500894,449764170.6664188,63481.10930769231,82693,
