date,price,market_cap,volume,community_score,public_interest_score,fear_greed
2021-05-23,9374.783960085671,120083191332.02122,26612704873.606285,224181.75607692308,14216,14
2021-05-22,10246.27749777338,131731233407144.0,36690805382.28347,223254.25,14216,12
2021-05-21,13039.589126602305,166155017762.11096,45390769983.42181,222183.9933333333,14216,19
2021-05-20,11719.021438678465,153368772125.73026,73343746317.48123,220963.93966666664,14216,11
2021-05-19,17663.11783680262,222538286571.28607,64808023207.240746,219630.0516153846,14216,23
2021-05-18,16079.909550991044,209376023864.85333,54452191251.1156,9928.76923076923,14216,21
2021-05-17,14738.664604373243,185295676387.9103,29947067372.20247,9772545.0,14216,27
2021-05-16,14396.529260550373,184267792762.7683,34139714163.011185,213814.1513333333,14216,20
2021-05-15,16665.46026298928,212627688259.22635,44178891682.29128,212438.28833333333,14216,27
2021-05-14,14298.3477360385,180216038476.10217,78301139113.87367,210695.17433333333,14216,26
2021-05-13,14502.057033870027,194873982370.4297,80357368065.06133,209153.75607692308,14216,31
2021-05-12,12819.40811578519,163132043019.7973,16075653496.638084,207202.12166666664,14216,68
2021-05-11,12060.28810775423,154128501969.38763,18132287724.12733,9306.21153846154,14216,61
2021-05-10,12744.13065066183,162636033417.01315,12410995109.141487,9269.853230769231,14216,72
2021-05-09,12901.684320235,164035847776.64932,13869421716.606865,202874.17433333333,14216,73
2021-05-08,12346.761144449389,157223119886.02008,15046637233.35742,201735.03238461536,14216,67
2021-05-07,12625.566310888504,160870318159.08432,17878906948.170467,200906.1083076924,14216,64
2021-05-06,13412.7371657186,170565724973.89362,19773162722.138844,200038.87853846152,14216,65
2021-05-05,12521.328900354722,161428132633.17062,29033796823.533867,199107.6545454545,14216,48
2021-05-04,14414.243597072193,183687310032.65976,25776676496.408867,9074.536363636364,14216,68
2021-05-03,13466.50953264478,170271452882.89807,18191405738.704445,9004.007666666666,14216,61
2021-05-02,14015.039727134788,177361617962.37018,28331957953.314964,195889.477,14216,66
2021-05-01,12372.660473811542,156934161340.87457,18114471841.423363,194725137.0,14216,68
2021-04-30,12222.2470196655,155553306563.91495,19698605419.808407,193596.0890769231,14216,51
2021-04-29,12852.116671941802,162831894079.36093,34711755142.52716,192529.3269230769,14216,52
2021-04-28,12210.383038368718,154911772028.2723,26201386292.531376,191470.42307692303,14216,59
2021-04-27,11249.138182617282,142364040199.0936,24868234204.55796,8723.416666666666,14216,50
2021-04-26,9728.498198645326,121149576776.06206,13076791123.372871,8654.825666666666,14216,27
2021-04-25,8875.198350170003,113334271246.0576,11443737241.814302,187184023.0,14216,31
2021-04-24,9639.741505714952,120143414821.2586,26360521282.22029,186167.0637692308,14216,37
2021-04-23,10250.227743978758,129174602540.15068,28197251986.38465,185423.1467692308,14216,55
2021-04-22,9884.982138434198,124041966121.47997,16143288235.845291,184653.834,14216,65
2021-04-21,10079.148706187754,126014615600.9219,19618690628.638783,184194.99233333336,14216,73
2021-04-20,9723.28784162323,121490829982.94844,17684425045.888874,8466.803666666667,14216,73
2021-04-19,10787.182530285863,135622800991.672,34492259506.25865,8395.352230769231,14216,74
2021-04-18,12105.13270919201,151401581018.3659,14655678165.753576,182264.96166666667,14216,79
2021-04-17,12479.684456180905,156171326531.09143,24862990044.56289,181352.28833333333,14216,76
2021-04-16,13233.147785012565,165205859222.83878,37170015776.12792,180496.55454545456,14216,78
2021-04-15,12157.2757065034,151567034108.6603,25425524914.66201,179618.41666666666,14216,79
2021-04-14,11342.887808162286,141513906988.03415,22966202698.44633,178548083.0,14216,75
2021-04-13,11276.236938786584,140481445597.02808,28604080070.065044,177626.08333333334,14216,74
2021-04-12,10565.1336450893,130927691182.96132,8323003786.107049,8195046.0,14216,74
2021-04-11,10462.755316285207,130485086668.83292,10916425232.969755,176218.87146153848,14216,76
2021-04-10,10224.33882729058,127820917579.69354,8022896505.24532,175518.42307692306,14216,70
2021-04-09,10532.605949869052,131248037491.74524,10672378275.931929,174820.0,14216,70
2021-04-08,9935.473854800171,124157457917.24808,19600516506.65405,174113.28066666666,14216,73
2021-04-07,10922.072416504592,136518976594.31412,17167119739.76954,173366.27530769233,14216,72
2021-04-06,11255.87917929128,140022099123.2295,13482150864.316978,7985.326923076923,14216,75
2021-04-05,11533.071883255798,143898608090.2469,13982150383.83537,7953.848666666667,14216,71
2021-04-04,10831.5803218967,136075903045.32266,15907633642.71136,171221.54453846157,14216,74
2021-04-03,11954.035972636231,149769635169.20566,18474693385.002785,170335.77530769233,14216,73
2021-04-02,10918.148630506232,136509247492.5695,15142861637.980406,169453.18966666664,14216,74
2021-04-01,10820.66686915428,135476271054.86084,18749180940.007446,168574818.0,14216,74
2021-03-31,10727.333064784514,133282913688.9562,13127473928.36608,167774773.0,14216,76
2021-03-30,10292.618498705797,128161758198.42336,11553892658.270542,7739.532384615385,14216,72
2021-03-29,9841.633997044066,122422853338.74268,8234709725.818031,7715833.0,14216,72
2021-03-28,10025.650631474093,124748868104.6915,9055687871834.0,168284.41666666666,14216,74
